Entry,Name,Description,Object,Legend
hsa04911,Insulin secretion,Pancreatic beta cells are specialised endocrine cells that continuously sense the levels of blood su...,"C00031 (D-Glucose) C00575 (3',5'-Cyclic AMP) C00076 (Calcium cation) C00002 (ATP) C00092 (D-Glucose ...",INSULIN SECRETION GLUT1/2 Kir6.2 VDCC M3R GLP-1R PLC Glucose Citrate cycle (TCA cycle) PKA Gq/G11 G...
hsa04912,GnRH signaling pathway,Gonadotropin-releasing hormone (GnRH) secretion from the hypothalamus acts upon its receptor in the ...,C00076 (Calcium cation) C00416 (Phosphatidate) C00219 (Arachidonate) C00165 (Diacylglycerol) C01245 ...,"PKC αGSU LHβ PA, PE DAG PLCβ CDC42 cAMP CREB CaMK MKK3/6 p38MAPK MEKK BMK PLA2 IP3R CaM q/11 MT1 GnR..."
hsa04913,Ovarian steroidogenesis,"The ovarian steroids, 17-beta estradiol (E2) and progesterone (P4), are critical for normal uterine ...",C00187 (Cholesterol) C01953 (Pregnenolone) C05138 (17alpha-Hydroxypregnenolone) C01227 (Dehydroepian...,OVARIAN STEROIDOGENESIS Steroid hormone biosynthesis Ovary (theca interstitial cell) Ovary (granulo...
hsa04914,Progesterone-mediated oocyte maturation,Xenopus oocytes are naturally arrested at G2 of meiosis I. Exposure to either insulin/IGF-1 or the s...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate), C11554 (1-Phosphatidyl-1D-myo-inositol 3,4-bispho...","IGF1R IGF-1 Insulin Mos CPEB CycB1/B4 Cdc2 Ras PI3K Cdc2 PIP , PIP Akt/PKB PDE3 APC/C Fizzy Mad1/2/3..."
hsa04915,Estrogen signaling pathway,"Estrogens are steroid hormones that regulate a plethora of physiological processes in mammals, inclu...","C00951 (Estradiol-17beta) C00951 (Estradiol-17beta) C00951 (Estradiol-17beta) C00575 (3',5'-Cyclic A...",ESTROGEN SIGNALING PATHWAY GPER c-Src MMP HB-EGF EGFR HB-EGF DNA DNA cAMP PKA Ras Raf MEK ERK1/2 p...
hsa04916,Melanogenesis,"Cutaneous melanin pigment plays a critical role in camouflage, mimicry, social communication, and pr...","C05606 (Melanin) C00082 (L-Tyrosine) C00076 (Calcium cation) C01245 (D-myo-Inositol 1,4,5-trisphosph...",Dvl DCT TYRP1 TYR MITF DCT TYRP1 TYR PKA CAMK CAM Gi/o ETB-R c-Kit MITF Melanin Tyrosine SCF Frizzle...
hsa04917,Prolactin signaling pathway,Prolactin (PRL) is a polypeptide hormone known to be involved in a wide range of biological function...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C05981 (Phosphatidylinositol-3,4,5-trisphosphate) ...",Jak_STAT signaling pathway MAPK signaling pathway PIP Akt/PKB PI3K PROLACTIN SIGNALING PATHWAY ERK...
hsa04918,Thyroid hormone synthesis,"Thyroid hormones triiodothyronine (T3) and thyroxine (T4) are essential for normal development, grow...","C00165 (Diacylglycerol) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00575 (3',5'-Cyclic AMP) C01330...",THYROID HORMONE SYNTHESIS Blood Follicular lumen Tight junction Apical membrane Basal membrane Thy...
hsa04919,Thyroid hormone signaling pathway,"The thyroid hormones (THs) are important regulators of growth, development and metabolism. The actio...","C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C02465 (Triiodothyronine) C01829 (Thyroxine) C0246...",MAPK signaling pathway ITGB ITGA PIP Akt/PKB PDK1 PI3K PKC THYROID HORMONE SIGNALING PATHWAY Regu...
hsa04920,Adipocytokine signaling pathway,"Increased adipocyte volume and number are positively correlated with leptin production, and negative...",C00195 (N-Acylsphingosine) C00638 (Long-chain fatty acid) C15493 (9-cis-Retinoic acid) C00165 (Diacy...,Ceramide Long-chain fatty acid Retinoic acid NF-κB IκB SHP-2 SOCS3 CPT-1 G6PC PEPCK FACS Diglyceride...
hsa04921,Oxytocin signaling pathway,Oxytocin (OT) is a nonapeptide synthesized by the magno-cellular neurons located in the supraoptic (...,"C00076 (Calcium cation) C00165 (Diacylglycerol) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00575 (...",MAPK signalng pathway DAG cAMP MLCK IP3R CALM ADCY PKA OXYTOCIN SIGNALING PATHWAY ER/SR OTR OXT PL...
hsa04922,Glucagon signaling pathway,Glucagon is conventionally regarded as a counterregulatory hormone for insulin and plays a critical ...,"C00031 (D-Glucose) C00668 (alpha-D-Glucose 6-phosphate), C01172 (beta-D-Glucose 6-phosphate) C00022 ...",GLUCAGON SIGNALING PATHWAY GLUT1/2 Glucose G6P Pyruvate Glucose Citrate cycle (TCA cycle) Citrate ...
hsa04923,Regulation of lipolysis in adipocytes,"Lipolysis in adipocytes, the hydrolysis of triacylglycerol (TAG) to release fatty acids (FAs) and gl...","C00575 (3',5'-Cyclic AMP) C00788 (L-Adrenaline) C00547 (L-Noradrenaline) C00942 (3',5'-Cyclic GMP) C...",REGULATION OF LIPOLYSIS IN ADIPOCYTES PKA cAMP β-AR Epinephrine HSL Lypolysis Norepinephrine NPR...
hsa04924,Renin secretion,"The aspartyl-protease renin is the key regulator of the renin-angiotensin-aldosterone system, which ...","C00575 (3',5'-Cyclic AMP) C00788 (L-Adrenaline) C00547 (L-Noradrenaline) C00942 (3',5'-Cyclic GMP) C...",RENIN SECRETION AC5/6 PKA cAMP β-AR Epinephrine Norepinephrine NPR-A cAMP signaling pathway cGMP cG...
hsa04925,Aldosterone synthesis and secretion,Aldosterone is a steroid hormone synthesized in and secreted from the outer layer of the adrenal cor...,"C00942 (3',5'-Cyclic GMP) C00076 (Calcium cation) C00238 (Potassium cation) C01245 (D-myo-Inositol 1...",ALDOSTERONE SYNTHESIS AND SECRETION cGMP TASK PLCβ L-type IP3 q/11 T-type Calcium signaling pathw...
hsa04926,Relaxin signaling pathway,"Human relaxin-2 (""relaxin""), originally identified as a peptidic hormone of pregnancy, is now known ...","C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00533 (Nitric oxide) C00575 (3',5'-Cyclic AMP) C0...",PIP AKT RELAXIN SIGNALING PATHWAY RXFP1 IκB NF κB NFκB signaling pathway eNOS Vasodilation VEGF si...
hsa04927,Cortisol synthesis and secretion,"Cortisol is the main endogenous glucocorticoid, which affects a plethora of physiological functions,...","C00076 (Calcium cation) C00238 (Potassium cation) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076...",CORTISOL SYNTHESIS AND SECRETION PLCβ L-type IP3 q/11 T-type Calcium signaling pathway Mitochondr...
hsa04928,"Parathyroid hormone synthesis, secretion and action",Parathyroid hormone (PTH) is a key regulator of calcium and phosphorus homeostasis. The principal re...,"C00076 (Calcium cation) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00575 (3',5'-Cyclic AMP) C00076...","PARATHYROID HORMONE SYNTHESIS, SECRETION AND ACTION PLCβ IP3 q/11 Calcium signaling pathway cAM..."
hsa04929,GnRH secretion,Hypothalamic gonadotropin-releasing hormone (GnRH) neurons are key regulators of reproduction. They ...,"C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00165 (Diacylglycerol) C00076 (Calcium cation) C00076 (...",GnRH SECRETION GnRH neuron /11 PLC DAG PKC Calcium signaling pathway PI3K PKB/Akt Endoplasmic retic...
hsa04930,Type II diabetes mellitus,"Insulin resistance is strongly associated with type II diabetes. ""Diabetogenic"" factors including FF...",C00002 (ATP) C00022 (Pyruvate) C00238 (Potassium cation) C00031 (D-Glucose) C00162 (Fatty acid) C000...,PYK P13K GLUT4 IRS1 INSR INS ATP Pyruvate Glucose SOCS ERK FFA Glucose ADIPO IKK PKCε/δ PDX-1 IRS JN...
hsa04931,Insulin resistance,Insulin resistance is a condition where cells become resistant to the effects of insulin. It is ofte...,C00162 (Fatty acid) C00162 (Fatty acid) C02843 (Long-chain acyl-CoA) C00165 (Diacylglycerol) C00031 ...,JNK1 TNFα FFA ER stress TNFR1 FATPs FFA IKKβ mTOR S6K INSR IRS-1 PI3K AKT2 GSK-3 +py LCFA-CoA DAG PK...
hsa04932,Non-alcoholic fatty liver disease,Non-alcoholic fatty liver disease (NAFLD) represents a spectrum ranging from simple steatosis to mor...,"C00031 (D-Glucose) C00162 (Fatty acid) 3630 (INS) 3667 (IRS1), 8660 (IRS2) 10000 (AKT3), 207 (AKT1),...",NON-ALCOHOLIC FATTY LIVER DISEASE Simple steatosis (without inflammation and fibrosis) (Cirrhos...
hsa04933,AGE-RAGE signaling pathway in diabetic complications,Advanced glycation end products (AGEs) are a complex group of compounds produced through the non-enz...,"C00031 (D-Glucose) C00195 (N-Acylsphingosine) C21011 ([Protein]-N(epsilon)-(carboxymethyl)lysine), C...",AGE-RAGE SIGNALING PATHWAY IN DIABETIC COMPLICATIONS High glucose Aging Inflammation Oxidative...
hsa04934,Cushing syndrome,Cushing syndrome (CS) is a rare disorder resulting from prolonged exposure to excess glucocorticoids...,"C00076 (Calcium cation) C00238 (Potassium cation) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076...",CUSHING SYNDROME PLCβ L-type IP3 q/11 T-type Calcium signaling pathway Mitochondria CREB cAMP AMP P...
hsa04935,"Growth hormone synthesis, secretion and action",Growth hormone (GH) is a peptide hormone secreted from the anterior pituitary and plays a critical r...,"C00076 (Calcium cation) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calcium cation) C00076 (...","GROWTH HORMONE SYNTHESIS, SECRETION AND ACTION PLCγ IP3 Calcium signaling pathway Somatotroph (..."
hsa04936,Alcoholic liver disease,Alcoholic liver disease (ALD) refers to the damages to the liver and its functions due to alcohol ov...,C00003 (NAD+) C00076 (Calcium cation) C00024 (Acetyl-CoA) C00083 (Malonyl-CoA) C00040 (Acyl-CoA) C00...,MyD88 TRAF3 IFN-β IFN-α TAK1 IRAK1 IL-8 TIRAP IL-1β TBK1 TRAF6 IKKε IL-6 TAB1 TAB2 IκBα TNFα IRF3 MD...
hsa04940,Type I diabetes mellitus,Type I diabetes mellitus is a disease that results from autoimmune destruction of the insulin-produc...,"C00704 (Superoxide), C00027 (Hydrogen peroxide), C00533 (Nitric oxide) 3382 (ICA1) 940 (CD28) 3592 (...",TCR TCR ICA Oxygen / nitrogen free radicals CD28 Apoptosis IL-12 CPE CD80/86 IA-2 GAD HSP IL-2 ...
hsa04950,Maturity onset diabetes of the young,About 2-5% of type II diabetic patients suffer from a monogenic disease with autosomal dominant inhe...,6928 (HNF1B) 3280 (HES1) 168620 (BHLHA15) 3175 (ONECUT1) 2645 (GCK) 3651 (PDX1) 3171 (FOXA3) 4760 (N...,HNF1β Hes1 Mist1 HNF6 PDX1 FoxA3 NeuroD1 Hes1 MafA HNF4γ Nkx2.2 Ins HNF1α IAPP Pax4 Pax6 Glut2 Neuro...
hsa04960,Aldosterone-regulated sodium reabsorption,Sodium transport across the tight epithelia of Na+ reabsorbing tissues such as the distal part of th...,C01330 (Sodium cation) C01780 (Aldosterone) C00238 (Potassium cation) C01330 (Sodium cation) C00735 ...,ALDOSTERONE-REGULATED SODIUM REABSORPTION Blood DNA ENaC ATPase SGK1 Aldosterone Urinary lumen Ubi...
hsa04961,Endocrine and other factor-regulated calcium reabsorption,Calcium (Ca2+) is essential for numerous physiological functions including intracellular signalling ...,C01673 (Calcitriol) C00951 (Estradiol-17beta) C01673 (Calcitriol) C00076 (Calcium cation) C00076 (Ca...,Blood DNA Urinary lumen Nucleus Distal convoluted tubular (DCT) cell Tight junction Tight junction ...
hsa04962,Vasopressin-regulated water reabsorption,"In the kidney, the antidiuretic hormone vasopressin (AVP) is a critical regulator of water homeostas...","C00575 (3',5'-Cyclic AMP) C00001 (H2O) C00001 (H2O) C00001 (H2O) C00001 (H2O) 551 (AVP) 554 (AVPR2) ...",VASOPRESSIN-REGULATED WATER REABSORPTION Renal interstitium fluid (blood) DNA Urinary lumen Nucleu...
hsa04964,Proximal tubule bicarbonate reclamation,"One of the major tasks of the renal proximal tubule (PT) is to secrete acid into the tubule lumen, t...",C00001 (H2O) C00001 (H2O) C00080 (H+) C01330 (Sodium cation) C00288 (HCO3-) C00011 (CO2) C00011 (CO2...,PROXIMAL TUBULE BICARBONATE RECLAMATION Blood Urinary lumen Proximal tubular cell Tight junction ...
hsa04966,Collecting duct acid secretion,One of the important roles of the collecting duct segment of the kidney nephron is acid secretion. A...,C00001 (H2O) C00080 (H+) C00011 (CO2) C00080 (H+) C00288 (HCO3-) C00698 (Cl-) C00288 (HCO3-) C00014 ...,COLLECTING DUCT ACID SECRETION Blood Urinary lumen intercalated cell type A Tight junction Tight ...
hsa04970,Salivary secretion,"Saliva has manifold functions in maintaining the integrity of the oral tissues, in protecting teeth ...",C00001 (H2O) C01330 (Sodium cation) C00698 (Cl-) C00698 (Cl-) C00238 (Potassium cation) C01330 (Sodi...,SALIVARY SECRETION Interstitium Acinar lumen Tight junction Apical membrane Basolateral membrane Sa...
hsa04971,Gastric acid secretion,"Gastric acid is a key factor in normal upper gastrointestinal functions, including protein digestion...","C00388 (Histamine) C00575 (3',5'-Cyclic AMP) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Cal...",GASTRIC ACID SECRETION Gastric gland lumen Histamine Apical membrane Basolateral membrane Gastric ...
hsa04972,Pancreatic secretion,The pancreas performs both exocrine and endocrine functions. The exocrine pancreas consists of two p...,C01330 (Sodium cation) C00698 (Cl-) C00238 (Potassium cation) C01330 (Sodium cation) C01245 (D-myo-I...,PANCREATIC SECRETION Interstitium Lumen Tight junction Apical membrane Basolateral membrane Pancrea...
hsa04973,Carbohydrate digestion and absorption,Dietary carbohydrate in humans and omnivorous animals is a major nutrient. The carbohydrates that we...,C00092 (D-Glucose 6-phosphate) C00092 (D-Glucose 6-phosphate) C00031 (D-Glucose) C00031 (D-Glucose) ...,CARBOHYDRATE DIGESTION AND ABSORPTION Blood Lumen Salivary secretion Small intestinal epithelial ...
hsa04974,Protein digestion and absorption,"Protein is a dietary component essential for nutritional homeostasis in humans. Normally, ingested p...","C01330 (Sodium cation) C01330 (Sodium cation) C00025 (L-Glutamate), C00049 (L-Aspartate) C00037 (Gly...",PROTEIN DIGESTION AND ABSORPTION Blood Lumen Small intestinal epithelial cell Tight junction Tigh...
hsa04975,Fat digestion and absorption,Fat is an important energy source from food. More than 95% of dietary fat is long-chain triacylglyce...,C00187 (Cholesterol) C00187 (Cholesterol) C00162 (Fatty acid) C01558 (Bile salt) C00162 (Fatty acid)...,FAT DIGESTION AND ABSORPTION Lumen Small intestinal epithelial cell Tight junction Tight junction...
hsa04976,Bile secretion,"Bile is a vital secretion, essential for digestion and absorption of fats and fat-soluble vitamins i...",C01330 (Sodium cation) C00080 (H+) C00698 (Cl-) C00288 (HCO3-) C01353 (Carbonic acid) C00001 (H2O) C...,AQP9 BILE SECRETION Tight junction Hepatocyte NHE1 HCO Cholangiocyte AE2 ATP CFTR HCO cAMP NBC1 2HC...
hsa04977,Vitamin digestion and absorption,Vitamins are a diverse and chemically unrelated group of organic substances that share a common feat...,C00422 (Triacylglycerol) C02530 (Cholesterol ester) C00422 (Triacylglycerol) C02530 (Cholesterol est...,VITAMIN DIGESTION AND ABSORPTION Lumen Small intestinal epithelial cell Retinol metabolism in ani...
hsa04978,Mineral absorption,Minerals are one of the five fundamental groups of nutrients needed to sustain life. Of the minerals...,C00076 (Calcium cation) C00076 (Calcium cation) C00076 (Calcium cation) C01330 (Sodium cation) C0007...,MINERAL ABSORPTION Blood Lumen Small intestinal epithelial cell Tight junction Tight junction Tight...
hsa04979,Cholesterol metabolism,Cholesterol is an essential component of mammalian cell membranes as well as a precursor of bile aci...,"C15610 (Cholest-5-ene-3beta,26-diol) C00422 (Triacylglycerol) C02530 (Cholesterol ester) C00422 (Tri...",Hepatocyte Nascent HDL HDL IDL VLDL LDL Lp(a) Lysosome/ Later endosome CM-remnant Endosome Bile LDL...
hsa05010,Alzheimer disease,Alzheimer disease (AD) is a chronic disorder that slowly destroys neurons and causes serious cogniti...,"C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calcium cation) C00076 (Calcium cation) C00533 (...",PEN2 PSEN NCSTN APH-1 γ-Secretase BACE ADAM10/17 β-Secretase α-Secretase TNF Microglia AICD C99 sAPP...
hsa05012,Parkinson disease,Parkinson disease (PD) is a progressive neurodegenerative movement disorder that results primarily f...,"C04599 (1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine) C07593 (Rotenone) C00002 (ATP) C00008 (ADP) C0...",LRRK2 Ubiquitin mediated proteolysis Proteasome Apoptosis UBA1 UbcH7/8 Parkin CDCrel1 synphilin1 Pae...
hsa05014,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disorder characterized by a progressive d...,C00025 (L-Glutamate) C00533 (Nitric oxide) C00076 (Calcium cation) C00533 (Nitric oxide) C00062 (L-A...,SOD1 EAAT2 AMYOTROPHIC LATERAL SCLEROSIS Motor neuron Astrocyte Presynaptic neuron Microglial cell...
hsa05016,Huntington disease,Huntington disease (HD) is an autosomal-dominant neurodegenerative disorder that primarily affects m...,"C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calcium cation) C04549 (1-Phosphatidyl-1D-myo-in...",HUNTINGTON DISEASE Cx I Cx II Cx III Cx IV Cx V Htt Htt Htt Htt Htt REST REST coREST Sin3A HDACs DN...
hsa05017,Spinocerebellar ataxia,The autosomal dominant spinocerebellar ataxias (SCAs) are a group of progressive neurodegenerative d...,"C01245 (D-myo-Inositol 1,4,5-trisphosphate) C01330 (Sodium cation) C00165 (Diacylglycerol) C00025 (L...",Parallel fiber PLC PKC DAG AMPAR mGluR1 Glutamate SPINOCEREBELLAR ATAXIA Glutamatergic synapse Purk...
hsa05020,Prion disease,"Prion diseases, also termed transmissible spongiform encephalopathies (TSEs), are a group of fatal n...","C00575 (3',5'-Cyclic AMP) C00027 (Hydrogen peroxide), C00704 (Superoxide) C02140 (Corticosterone) C0...",PrP PRION DISEASE DNA Endoplasmic reticulum (ER) Neuron Endocytosis Proteasome Golgi Early endosome...
hsa05022,Pathways of neurodegeneration - multiple diseases,"Neurodegeneration is generally defined as progressive, irreversible loss of neurons, which may affec...",C00076 (Calcium cation) C00076 (Calcium cation) C00076 (Calcium cation) C04549 (1-Phosphatidyl-1D-my...,PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES Endoplasmic reticulum (ER) PrP ER stress CASP...
hsa05030,Cocaine addiction,"Drug addiction is a chronic, relapsing disorder in which compulsive drug-seeking and drug-taking beh...","C00082 (L-Tyrosine) C00355 (3,4-Dihydroxy-L-phenylalanine) C03758 (Dopamine) C03758 (Dopamine) C0116...",COCAINE ADDICTION Neuron (Presynaptic terminal) Neuron (Postsynaptic cell) VMAT Control Dopaminergi...
hsa05031,Amphetamine addiction,Amphetamine is a psychostimulant drug that exerts persistent addictive effects. Most addictive drugs...,"C00082 (L-Tyrosine) C00355 (3,4-Dihydroxy-L-phenylalanine) C03758 (Dopamine) C03758 (Dopamine) C0375...",AMPHETAMINE ADDICTION Neuron (Presynaptic terminal) Neuron (Postsynaptic cell) VMAT Control Dopamin...
hsa05032,Morphine addiction,Morphine is an alkaloid from the plant extracts of opium poppy. Although morphine is highly effectiv...,"C00575 (3',5'-Cyclic AMP) C00575 (3',5'-Cyclic AMP) C00334 (4-Aminobutanoate) C00334 (4-Aminobutanoa...",MORPHINE ADDICTION GABA neuron (Presynaptic terminal) MOR Control GABAergic synapse Synaptic cleft ...
hsa05033,Nicotine addiction,Nicotine is one of the main psychoactive ingredients in tobacco that contributes to the harmful toba...,"C00334 (4-Aminobutanoate) C01330 (Sodium cation), C00076 (Calcium cation) C00076 (Calcium cation) C0...",NICOTINE ADDICTION Control Smoking Nucleus accumbens (NAc) Nicotine (Nic) GABA GABA Ca / Na Ca / ...
hsa05034,Alcoholism,"Alcoholism, also called dependence on alcohol (ethanol), is a chronic relapsing disorder that is pro...","C00082 (L-Tyrosine) C00355 (3,4-Dihydroxy-L-phenylalanine) C03758 (Dopamine) C03758 (Dopamine) C0116...",ALCOHOLISM Neuron (Presynaptic terminal) Neuron (Postsynaptic cell) VMAT Control Dopaminergic synaps...
hsa05100,Bacterial invasion of epithelial cells,Many pathogenic bacteria can invade phagocytic and non-phagocytic cells and colonize them intracellu...,"10801 (SEPTIN9), 124404 (SEPTIN12), 1731 (SEPTIN1), 23157 (SEPTIN6), 23176 (SEPTIN8), 4735 (SEPTIN2)...",BACTERIAL INVASION OF EPITHELIAL CELLS ECM-receptor interaction Regulation of actin cytoskel...
hsa05110,Vibrio cholerae infection,"Cholera toxin (CTX) is one of the main virulence factors of Vibrio cholerae. Once secreted, CTX B-ch...",C00014 (Ammonia) C00080 (H+) C00238 (Potassium cation) C00238 (Potassium cation) C01330 (Sodium cati...,TcpF TcpE TcpD TcpC TcpB TcpA Hap ACE NanH GM1 Tight junction Zot RtxA CtxA CtxA CtxB VCC Vibrio cho...
hsa05120,Epithelial cell signaling in Helicobacter pylori infection,Two major virulence factors of H. pylori are the vacuolating cytotoxin (VacA) and the cag type-IV se...,"C01342 (NH4+) C00080 (H+) C00014 (Ammonia) G00263 (IV2Fuc,III4Fuc-Lc4-Cer) C00698 (Cl-) C00086 (Urea...",HopZ AlpB AlpA VacA p38 AP-1 JNK MKK4 IKKα IKKγ IKKβ IκBα ATPeV CASP3 PAK1 NF-κB RANTES GRO-α IL-8 C...
hsa05130,Pathogenic Escherichia coli infection,Enteropathogenic E. coli (EPEC) and enterohemorrhagic E. coli (EHEC) are closely related pathogenic ...,C00350 (Phosphatidylethanolamine) C00681 (1-Acyl-sn-glycerol 3-phosphate) C00338 (Lipopolysaccharide...,Golgi Regulation of actin cytoskeleton Flagellar assembly Tight junction Toll-like receptor signalin...
hsa05131,Shigellosis,"Shigellosis, or bacillary dysentery, is an intestinal infection caused by Shigella, a genus of enter...",C00338 (Lipopolysaccharide) C00165 (Diacylglycerol) C00165 (Diacylglycerol) C11472 (D-glycero-beta-D...,SHIGELLOSIS Shigella dysenteria Shigella flexneri Shigella boydii Shigella sonnei TNF-R1 TNFα IκBα I...
hsa05132,Salmonella infection,Salmonella infection usually presents as a self-limiting gastroenteritis or the more severe typhoid ...,"C00338 (Lipopolysaccharide) C00338 (Lipopolysaccharide) C05981 (Phosphatidylinositol-3,4,5-trisphosp...",SopB AvrA MyD88 MyD88 MyD88 ERK IKKβ TAK1 p38 IRAK1/4 IKKα IL-8 TIRAP MyD88 JNK IL-1β TRAF6 IL-6 TAB...
hsa05133,Pertussis,"Pertussis, also known as whooping cough, is an acute respiratory infectious disease caused by a bact...","C00076 (Calcium cation) C00002 (ATP) C00575 (3',5'-Cyclic AMP) C00338 (Lipopolysaccharide) C19596 (L...",PERTUSSIS FhaC FHA SphB1 CD11b Sulfated carbohydrates CD29 FimD Fim2/3 Fimbrial proteins Adhesion Pr...
hsa05134,Legionellosis,Legionellosis is a potentially fatal infectious disease caused by the bacterium Legionella pneumophi...,C00338 (Lipopolysaccharide) C01277 (1-Phosphatidyl-1D-myo-inositol 4-phosphate) 58484 (NLRC4) 29108 ...,LEGIONELLOSIS FlaA IPAF ASC CASP1 IL-1β IL-18 Naip5 CASP7 Host cell death NF-κB DNA Anti-apoptotic p...
hsa05135,Yersinia infection,Pathogenic Yersinia injects virulent Yersinia outer proteins (Yops) into the host cell through a typ...,"C04637 (1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate) C01245 (D-myo-Inositol 1,4,5-trisphosphate) ...","ITGB1 Src N-WASP Arp2/3 Fibronectin p130Cas Crk DOCK180 PIP(5)KIα Actin PI(4,5)P PIP -binding protei..."
hsa05140,Leishmaniasis,"Leishmania is an intracellular protozoan parasite of macrophages that causes visceral, mucosal, and ...",C00076 (Calcium cation) C00533 (Nitric oxide) C02737 (Phosphatidylserine) C00195 (N-Acylsphingosine)...,Macrophage FNR FcγR C3b PKC p47phox Complement cascade Leishmania promastigote LPG Calcium signa...
hsa05142,Chagas disease,"Trypanosoma cruzi is an intracellular protozoan parasite that causes Chagas disease, also called Ame...","C00062 (L-Arginine) C00533 (Nitric oxide) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calciu...",TLR2 TLR4 IFNγ gp160 TcCRT C3b C1q Complement pathway Toll-like receptor signaling pathway TLR9 ...
hsa05143,African trypanosomiasis,"Trypanosoma brucei, the parasite responsible for African trypanosomiasis (sleeping sickness), are sp...",C00584 (Prostaglandin E2) C00696 (Prostaglandin D2) C00328 (L-Kynurenine) C00078 (L-Tryptophan) C012...,AFRICAN TRYPANOSOMIASIS Macrophage TLR9 MyD88 IL12 IL18 CD8+ T cell IFNγ TNFα VSG Trypanosoma burce...
hsa05144,Malaria,Plasmodium protozoa are parasites that account for malaria infection. Sporozoite forms of the parasi...,C00533 (Nitric oxide) C00634 (Chondroitin 4-sulfate) G10505 (Hyaluronic acid) G00054 (Type II A anti...,ICAM1 Subcutaneous tissue Liver Circulation Kupffer cell Vascular endothelial cell PfEMP1 SPECT Mal...
hsa05145,Toxoplasmosis,Toxoplasma gondii is an obligate intracellular parasite that is prevalent worldwide. The tachyzoite ...,"C06314 (Lipoxin A4) C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00076 (Calcium cation) 4615 (...",MyD88 IRAK TRAF6 TAK TAB1/2 IKK IκB NFκB ERK JNK p38 MKK3/6 GRA3/5 Toxoplasma gondii tachyzoite Para...
hsa05146,Amoebiasis,"Entamoeba histolytica, an extracellular protozoan parasite is a human pathogen that invades the inte...",C00076 (Calcium cation) C00027 (Hydrogen peroxide) C00219 (Arachidonate) C00584 (Prostaglandin E2) C...,Extracellular matrix Intestinal epithelial cell Entamoeba histolytica trophozoite IL1β MUC2 Laminin...
hsa05150,Staphylococcus aureus infection,Staphylococcus aureus can cause multiple forms of infections ranging from superficial skin infection...,C11596 (FMLP) C20898 (Lipoteichoic acid) 1675 (CFD) 718 (C3) 629 (CFB) 727 (C5) 716 (C1S) 715 (C1R) ...,C1S C1R C1Q MBL MASP1/2 STAPHYLOCOCCUS AUREUS INFECTION Alternative pathway Lectin pathway Classic...
hsa05152,Tuberculosis,"Tuberculosis, or TB, is an infectious disease caused by Mycobacterium tuberculosis. One third of the...",C04549 (1-Phosphatidyl-1D-myo-inositol 3-phosphate) C01194 (1-Phosphatidyl-D-myo-inositol) C00338 (L...,SapM TUBERCULOSIS DC-SIGN Raf1 IL-10 Pro-inflammatory cytokines Phagosome maturation arrest Rab5 VPS...
hsa05160,Hepatitis C,Hepatitis C virus (HCV) is a major cause of chronic liver disease. The HCV employ several strategies...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C20935 (2-5A) 23586 (RIGI) 57506 (MAVS) 7187 (TRAF...",HEPATITIS C Hepatitis C virus Hepatocyte RIG-I IPS-1 TRAF3 TBK1 IKKε IRF3/7 NFκB TLR3 TRIF IκB IKK ...
hsa05161,Hepatitis B,Hepatitis B virus (HBV) is an enveloped virus and contains a partially double-stranded relaxed circu...,C00076 (Calcium cation) 7419 (VDAC3) 54205 (CYCS) 842 (CASP9) 317 (APAF1) 100506742 (CASP12) 836 (CA...,Mitochondria VDAC3 CytC CASP9 Apaf-1 CASP12 CASP3 Apoptosis Bax Survivin Ca release PKC Raf MEK E...
hsa05162,Measles,Measles virus (MV) is highly contagious virus that leads infant death worldwide. Humans are the uniq...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) 51284 (TLR7), 54106 (TLR9) 4615 (MYD88) 3654 (IRAK...",MEASLES MV proteins TLR7/9 MyD88 IRAK IRF7 IFNα DNA TLR2/4 RIG-I MyD88 IRAK IκB NFκB LPS MDA5 IPS1 I...
